"site_id" "n" "germ" "prop" "canopy" "soil_moisture" "management"
"36" "8" 50 20 0.4 48.2236776873469 34.0644900244661 "Mown"
"37" "8" 50 8 0.16 70.6767630018294 23.2516365731135 "Unmown"
"38" "8" 50 31 0.62 27.3126348666847 38.229521738831 "Mown"
"39" "8" 50 36 0.72 35.4544806107879 55.6594111514278 "Mown"
"40" "8" 50 41 0.82 28.530062828213 55.0937194749713 "Mown"
"41" "9" 50 20 0.4 21.4240017905831 23.7083310750313 "Mown"
"42" "9" 50 10 0.2 43.1637068651617 26.0741378203966 "Unmown"
"43" "9" 50 26 0.52 43.0979461036623 59.2820442188531 "Unmown"
"44" "9" 50 28 0.56 39.5076360739768 40.9996655094437 "Mown"
"45" "9" 50 32 0.64 22.1955798193812 56.8657044577412 "Unmown"
"46" "10" 50 27 0.54 21.1044850759208 33.3266351162456 "Mown"
"47" "10" 50 26 0.52 28.6427279561758 30.3416296630166 "Mown"
"48" "10" 50 24 0.48 47.2769960202277 42.9615162103437 "Mown"
"49" "10" 50 14 0.28 31.277811229229 17.6173308421858 "Unmown"
"50" "10" 50 6 0.12 78.6262172274292 38.6433529108763 "Mown"
"51" "11" 50 13 0.26 13.6664933338761 21.9363013422117 "Mown"
"52" "11" 50 29 0.58 45.376005936414 58.1179468217306 "Mown"
"53" "11" 50 9 0.18 73.9139876514673 40.0682862987742 "Unmown"
"54" "11" 50 19 0.38 19.7519407980144 35.7514863624237 "Mown"
"55" "11" 50 11 0.22 54.8758387006819 30.1286671101116 "Mown"
"56" "12" 50 33 0.66 26.5225111693144 54.0123270615004 "Unmown"
"57" "12" 50 30 0.6 20.2025320194662 28.2045932393521 "Mown"
"58" "12" 50 15 0.3 70.2646291442215 24.4119640346617 "Mown"
"59" "12" 50 9 0.18 81.603628732264 18.5322617553174 "Mown"
"60" "12" 50 19 0.38 39.9570220708847 18.6085873190314 "Unmown"
"61" "13" 50 20 0.4 63.2092155702412 34.102130276151 "Unmown"
"62" "13" 50 29 0.58 17.5872528739274 22.6482464256696 "Mown"
"63" "13" 50 24 0.48 40.7175710238516 20.8127394807525 "Mown"
"64" "13" 50 38 0.76 31.9506915658712 43.7188194040209 "Mown"
"65" "13" 50 13 0.26 75.1712031103671 12.3831813712604 "Unmown"
"66" "14" 50 31 0.62 45.8813073113561 45.042654373683 "Mown"
"67" "14" 50 12 0.24 74.8051482439041 27.594431922771 "Unmown"
"68" "14" 50 11 0.22 74.991160761565 30.4471998964436 "Mown"
"69" "14" 50 23 0.46 73.5473856888711 51.0475661978126 "Unmown"
"70" "14" 50 38 0.76 45.1865350082517 55.9428674075752 "Mown"
"71" "15" 50 12 0.24 70.3580126911402 24.1264165053144 "Mown"
"72" "15" 50 27 0.54 60.3376905247569 58.0552396853454 "Mown"
"73" "15" 50 17 0.34 66.8145921081305 46.4197214134037 "Unmown"
"74" "15" 50 31 0.62 10.0499818660319 44.3187541002408 "Unmown"
"75" "15" 50 13 0.26 48.0253259278834 12.6421971386299 "Mown"
"76" "16" 50 18 0.36 27.6095108129084 29.7610067320056 "Mown"
"77" "16" 50 14 0.28 40.3853230178356 33.8922689924948 "Unmown"
"78" "16" 50 17 0.34 59.0216802619398 38.0126631841995 "Mown"
"79" "16" 50 18 0.36 38.1438327394426 44.9130797432736 "Mown"
"80" "16" 50 32 0.64 18.8908339478076 55.7841769210063 "Unmown"
"81" "17" 50 29 0.58 29.4895578175783 40.9175613685511 "Mown"
"82" "17" 50 7 0.14 63.4444469958544 31.4210754376836 "Unmown"
"83" "17" 50 25 0.5 43.411742374301 37.104018360842 "Unmown"
"84" "17" 50 3 0.06 73.0556667223573 12.9239244293422 "Unmown"
"85" "17" 50 16 0.32 18.2291715405881 23.042842852883 "Unmown"
"86" "18" 50 29 0.58 44.7914193198085 29.8575976653956 "Unmown"
"87" "18" 50 15 0.3 88.7965583987534 19.887236834038 "Unmown"
"88" "18" 50 33 0.66 81.4440891519189 51.5963781415485 "Unmown"
"89" "18" 50 21 0.42 80.9175248630345 17.6443611411378 "Unmown"
"90" "18" 50 49 0.98 24.0042120218277 50.1709271012805 "Mown"
"91" "19" 50 18 0.36 20.4556553252041 37.3413078277372 "Unmown"
"92" "19" 50 16 0.32 62.2481540031731 43.1158821005374 "Mown"
"93" "19" 50 10 0.2 37.4813177809119 18.5849246941507 "Mown"
"94" "19" 50 12 0.24 62.5406502373517 41.6527679911815 "Mown"
"95" "19" 50 12 0.24 35.6298593990505 25.5934873386286 "Mown"
"96" "20" 50 33 0.66 25.0152895413339 46.2277173204347 "Mown"
"97" "20" 50 11 0.22 72.5835441052914 29.9469912331551 "Mown"
"98" "20" 50 39 0.78 17.4875989370048 58.4678205568343 "Mown"
"99" "20" 50 31 0.62 47.3423233255744 58.3699185308069 "Unmown"
"100" "20" 50 22 0.44 50.9204367920756 46.3351269508712 "Unmown"
"101" "21" 50 33 0.66 57.9991167411208 22.8608373226598 "Mown"
"102" "21" 50 42 0.84 36.6258832253516 21.0893967328593 "Mown"
"103" "21" 50 46 0.92 49.0890426933765 39.6522825839929 "Mown"
"104" "21" 50 17 0.34 86.3579061999917 23.3760716067627 "Mown"
"105" "21" 50 40 0.8 48.632191773504 36.5535199432634 "Mown"
"106" "22" 50 23 0.46 81.2280177697539 49.2645835643634 "Mown"
"107" "22" 50 9 0.18 83.1550549529493 18.4030405269004 "Unmown"
"108" "22" 50 21 0.42 58.6987985856831 30.2199590508826 "Mown"
"109" "22" 50 28 0.56 42.8551821224391 33.5788138816133 "Unmown"
"110" "22" 50 44 0.88 21.7675752751529 53.4053403441794 "Mown"
"111" "23" 50 12 0.24 84.8239842616022 56.285397792235 "Unmown"
"112" "23" 50 25 0.5 34.0983119979501 54.098877965007 "Unmown"
"113" "23" 50 26 0.52 14.8576457239687 43.7093421258032 "Unmown"
"114" "23" 50 8 0.16 85.8181552030146 57.5083489669487 "Unmown"
"115" "23" 50 3 0.06 67.6477018743753 35.8222447126172 "Unmown"
"116" "24" 50 31 0.62 21.3835436478257 38.8259510649368 "Mown"
"117" "24" 50 9 0.18 53.9427724853158 26.8165602954105 "Unmown"
"118" "24" 50 10 0.2 86.3272990845144 27.366231570486 "Mown"
"119" "24" 50 7 0.14 56.8386682495475 11.0012150276452 "Mown"
"120" "24" 50 19 0.38 42.3608225397766 35.1406522816978 "Mown"
"121" "25" 50 31 0.62 61.8314783461392 53.5521706822328 "Mown"
"122" "25" 50 26 0.52 35.5856493674219 10.3150391974486 "Mown"
"123" "25" 50 24 0.48 34.6176008693874 13.6028561997227 "Mown"
"124" "25" 50 27 0.54 27.5814105011523 18.2105612498708 "Mown"
"125" "25" 50 41 0.82 39.5591092668474 48.5167037136853 "Mown"
"126" "26" 50 12 0.24 88.737536277622 46.7592152906582 "Mown"
"127" "26" 50 30 0.6 22.336184065789 58.5937817837112 "Unmown"
"128" "26" 50 24 0.48 17.2835199907422 33.3236188418232 "Unmown"
"129" "26" 50 24 0.48 21.3525526225567 13.7192256655544 "Mown"
"130" "26" 50 19 0.38 65.2005681209266 42.4409062159248 "Mown"
"131" "27" 50 23 0.46 59.5405186712742 47.929658475332 "Mown"
"132" "27" 50 6 0.12 81.3115293718874 16.8553040502593 "Unmown"
"133" "27" 50 14 0.28 63.8399274088442 29.8292297311127 "Unmown"
"134" "27" 50 9 0.18 68.9662190340459 21.2492664600722 "Mown"
"135" "27" 50 5 0.1 51.6908580623567 12.8979280265048 "Unmown"
"136" "28" 50 16 0.32 62.7870759740472 29.7946344153024 "Mown"
"137" "28" 50 7 0.14 75.7444368116558 13.2464149990119 "Unmown"
"138" "28" 50 6 0.12 72.9025241360068 21.2943216459826 "Mown"
"139" "28" 50 3 0.06 88.3857533894479 12.7314554550685 "Unmown"
"140" "28" 50 26 0.52 45.1545228995383 43.5141019779257 "Mown"
"141" "29" 50 23 0.46 34.9361761659384 24.8870891309343 "Mown"
"142" "29" 50 24 0.48 42.7579962089658 15.0360791152343 "Mown"
"143" "29" 50 24 0.48 10.8373689465225 13.5952048609033 "Unmown"
"144" "29" 50 36 0.72 24.7079619206488 54.0220284392126 "Unmown"
"145" "29" 50 24 0.48 77.4183455109596 47.7123701036908 "Mown"
"146" "30" 50 41 0.82 28.4929425641894 50.8302943804301 "Unmown"
"147" "30" 50 42 0.84 29.1279964521527 59.1070186835714 "Unmown"
"148" "30" 50 41 0.82 16.1352932266891 15.179982248228 "Unmown"
"149" "30" 50 32 0.64 29.6578942425549 14.9520914675668 "Unmown"
"150" "30" 50 37 0.74 68.5708164423704 49.9415805586614 "Unmown"
