"id" "body_mass" "age_class" "prey_density" "habitat"
"71" 71 505 "adult" 12.3 "Rocky"
"72" 72 267 "juvenile" 4.2 "Sand"
"73" 73 853 "adult" 5.7 "Seagrass"
"74" 74 468 "adult" 6.9 "Seagrass"
"75" 75 472 "juvenile" 19.6 "Mudflat"
"76" 76 859 "adult" 6.9 "Rocky"
"77" 77 543 "juvenile" 8 "Mudflat"
"78" 78 391 "adult" 12.5 "Mudflat"
"79" 79 639 "adult" 10.2 "Rocky"
"80" 80 572 "adult" 12.9 "Mudflat"
"81" 81 601 "adult" 38 "Rocky"
"82" 82 687 "juvenile" 6.8 "Seagrass"
"83" 83 527 "adult" 10.3 "Mudflat"
"84" 84 752 "juvenile" 9.3 "Seagrass"
"85" 85 555 "adult" 25.6 "Seagrass"
"86" 86 674 "adult" 8.2 "Seagrass"
"87" 87 881 "juvenile" 11.5 "Sand"
"88" 88 699 "adult" 17.8 "Seagrass"
"89" 89 535 "adult" 7.1 "Mudflat"
"90" 90 897 "adult" 27.5 "Seagrass"
"91" 91 850 "juvenile" 16.8 "Rocky"
"92" 92 727 "adult" 7 "Rocky"
"93" 93 652 "adult" 15.1 "Seagrass"
"94" 94 482 "juvenile" 10.8 "Seagrass"
"95" 95 966 "adult" 14 "Mudflat"
"96" 96 486 "adult" 11.5 "Mudflat"
"97" 97 1290 "juvenile" 20.5 "Seagrass"
"98" 98 1026 "juvenile" 6.1 "Seagrass"
"99" 99 552 "juvenile" 9.2 "Mudflat"
"100" 100 419 "adult" 10.6 "Seagrass"
"101" 101 468 "adult" 7.3 "Mudflat"
"102" 102 656 "adult" 7.1 "Sand"
"103" 103 550 "adult" 11.9 "Seagrass"
"104" 104 531 "juvenile" 11.2 "Mudflat"
"105" 105 430 "juvenile" 3.4 "Mudflat"
"106" 106 591 "adult" 20.2 "Seagrass"
"107" 107 456 "adult" 13.6 "Rocky"
"108" 108 335 "adult" 40.2 "Seagrass"
"109" 109 525 "juvenile" 16.9 "Rocky"
"110" 110 828 "adult" 9.6 "Seagrass"
"111" 111 491 "adult" 48.6 "Seagrass"
"112" 112 742 "adult" 49.5 "Seagrass"
"113" 113 341 "juvenile" 6.5 "Rocky"
"114" 114 588 "adult" 15.2 "Mudflat"
"115" 115 720 "juvenile" 10.8 "Seagrass"
"116" 116 667 "adult" 13.2 "Sand"
"117" 117 623 "juvenile" 13.4 "Seagrass"
"118" 118 479 "adult" 6.4 "Sand"
"119" 119 446 "adult" 13.8 "Rocky"
"120" 120 419 "adult" 28.8 "Seagrass"
"121" 121 625 "juvenile" 11.1 "Seagrass"
"122" 122 431 "adult" 11.1 "Seagrass"
"123" 123 505 "juvenile" 24.1 "Rocky"
"124" 124 549 "adult" 18.8 "Rocky"
"125" 125 1144 "juvenile" 5.3 "Seagrass"
"126" 126 478 "adult" 13.5 "Rocky"
"127" 127 652 "adult" 27.4 "Seagrass"
"128" 128 617 "adult" 24.4 "Seagrass"
"129" 129 428 "adult" 14.8 "Seagrass"
"130" 130 585 "adult" 17.2 "Sand"
"131" 131 995 "adult" 6.6 "Seagrass"
"132" 132 703 "adult" 13.9 "Mudflat"
"133" 133 609 "adult" 7.4 "Rocky"
"134" 134 518 "adult" 9.5 "Seagrass"
"135" 135 292 "adult" 19.2 "Rocky"
"136" 136 891 "adult" 6.8 "Seagrass"
"137" 137 360 "juvenile" 13.7 "Mudflat"
"138" 138 777 "juvenile" 14.9 "Seagrass"
"139" 139 1170 "juvenile" 12.3 "Seagrass"
"140" 140 362 "adult" 29.8 "Rocky"
"141" 141 767 "adult" 7.2 "Sand"
"142" 142 547 "adult" 16.2 "Seagrass"
"143" 143 346 "adult" 11.5 "Seagrass"
"144" 144 353 "adult" 10.5 "Seagrass"
"145" 145 343 "juvenile" 15.1 "Seagrass"
"146" 146 498 "juvenile" 7.2 "Seagrass"
"147" 147 360 "adult" 6.2 "Seagrass"
"148" 148 763 "juvenile" 9.4 "Sand"
"149" 149 1251 "adult" 28.8 "Seagrass"
"150" 150 382 "adult" 12.3 "Mudflat"
"151" 151 790 "adult" 14.2 "Rocky"
"152" 152 785 "adult" 10.9 "Rocky"
"153" 153 674 "adult" 15.2 "Mudflat"
"154" 154 422 "adult" 7.5 "Seagrass"
"155" 155 575 "adult" 21.4 "Seagrass"
"156" 156 544 "adult" 16.1 "Seagrass"
"157" 157 731 "adult" 8 "Mudflat"
"158" 158 527 "juvenile" 12.3 "Seagrass"
"159" 159 845 "adult" 17.2 "Seagrass"
"160" 160 526 "adult" 15.9 "Mudflat"
"161" 161 867 "adult" 25.2 "Seagrass"
"162" 162 416 "adult" 8.8 "Mudflat"
"163" 163 386 "juvenile" 21 "Rocky"
"164" 164 1866 "adult" 20.1 "Seagrass"
"165" 165 519 "adult" 11.1 "Seagrass"
"166" 166 666 "adult" 7.4 "Rocky"
"167" 167 750 "adult" 7 "Mudflat"
"168" 168 507 "adult" 15.1 "Mudflat"
"169" 169 719 "adult" 11.6 "Seagrass"
"170" 170 683 "adult" 29.2 "Seagrass"
"171" 171 556 "adult" 15.7 "Mudflat"
"172" 172 614 "adult" 10 "Seagrass"
"173" 173 593 "adult" 7.2 "Seagrass"
"174" 174 1264 "adult" 9 "Mudflat"
"175" 175 463 "juvenile" 14.2 "Seagrass"
"176" 176 409 "juvenile" 9.6 "Seagrass"
"177" 177 608 "adult" 15.5 "Sand"
"178" 178 669 "juvenile" 10.2 "Seagrass"
"179" 179 699 "adult" 11.4 "Rocky"
"180" 180 511 "adult" 8.3 "Rocky"
"181" 181 414 "adult" 31.1 "Seagrass"
"182" 182 934 "adult" 14.2 "Rocky"
"183" 183 531 "juvenile" 13.5 "Mudflat"
"184" 184 443 "adult" 5.1 "Mudflat"
"185" 185 552 "juvenile" 16.7 "Seagrass"
"186" 186 560 "adult" 7.2 "Mudflat"
"187" 187 885 "adult" 7.7 "Seagrass"
"188" 188 618 "juvenile" 19 "Seagrass"
"189" 189 781 "adult" 9.6 "Mudflat"
"190" 190 504 "adult" 5 "Rocky"
"191" 191 647 "juvenile" 29.1 "Seagrass"
"192" 192 536 "juvenile" 3.7 "Sand"
"193" 193 620 "adult" 16 "Seagrass"
"194" 194 439 "adult" 20 "Rocky"
"195" 195 379 "adult" 8.8 "Sand"
"196" 196 1207 "juvenile" 15 "Mudflat"
"197" 197 740 "juvenile" 14.9 "Seagrass"
"198" 198 387 "adult" 20.2 "Seagrass"
"199" 199 484 "adult" 15.3 "Rocky"
"200" 200 396 "adult" 10.6 "Seagrass"
"201" 201 1295 "adult" 19 "Seagrass"
"202" 202 950 "adult" 17.9 "Seagrass"
"203" 203 547 "adult" 7.5 "Rocky"
"204" 204 726 "adult" 6 "Seagrass"
"205" 205 519 "adult" 13 "Seagrass"
"206" 206 508 "juvenile" 10.5 "Mudflat"
"207" 207 455 "adult" 7.3 "Seagrass"
"208" 208 487 "juvenile" 12.5 "Mudflat"
"209" 209 1069 "adult" 6.2 "Seagrass"
"210" 210 589 "juvenile" 13 "Mudflat"
"211" 211 626 "juvenile" 8.8 "Mudflat"
"212" 212 653 "juvenile" 19.4 "Seagrass"
"213" 213 924 "adult" 40.3 "Mudflat"
"214" 214 501 "adult" 7.6 "Mudflat"
"215" 215 424 "adult" 20.4 "Rocky"
"216" 216 1079 "juvenile" 18.1 "Seagrass"
"217" 217 514 "adult" 11.6 "Sand"
"218" 218 466 "adult" 9.6 "Seagrass"
"219" 219 389 "juvenile" 26.4 "Mudflat"
"220" 220 383 "adult" 4.4 "Seagrass"
"221" 221 491 "juvenile" 8.7 "Sand"
"222" 222 745 "adult" 5.9 "Seagrass"
"223" 223 885 "adult" 24.1 "Mudflat"
"224" 224 769 "juvenile" 10.9 "Mudflat"
"225" 225 528 "adult" 9.2 "Rocky"
"226" 226 613 "adult" 59 "Seagrass"
"227" 227 469 "adult" 11.7 "Seagrass"
"228" 228 467 "juvenile" 9.6 "Mudflat"
"229" 229 818 "juvenile" 13.9 "Seagrass"
"230" 230 421 "adult" 5.5 "Mudflat"
"231" 231 1189 "juvenile" 15.3 "Seagrass"
"232" 232 581 "adult" 11.4 "Seagrass"
"233" 233 647 "juvenile" 15.2 "Seagrass"
"234" 234 463 "juvenile" 7.3 "Seagrass"
"235" 235 491 "adult" 7.2 "Rocky"
"236" 236 378 "adult" 8.5 "Mudflat"
"237" 237 563 "adult" 8.2 "Rocky"
"238" 238 695 "juvenile" 23 "Seagrass"
"239" 239 672 "juvenile" 26.4 "Seagrass"
"240" 240 456 "adult" 11.1 "Mudflat"
"241" 241 455 "adult" 10 "Seagrass"
"242" 242 503 "adult" 10.2 "Mudflat"
"243" 243 1013 "adult" 12.4 "Sand"
"244" 244 403 "adult" 12.6 "Sand"
"245" 245 564 "juvenile" 13.9 "Rocky"
"246" 246 1168 "juvenile" 8.3 "Rocky"
"247" 247 579 "adult" 7.9 "Sand"
"248" 248 373 "adult" 21.8 "Rocky"
"249" 249 475 "adult" 9.1 "Seagrass"
"250" 250 711 "adult" 14 "Mudflat"
"251" 251 526 "adult" 11.7 "Mudflat"
"252" 252 493 "juvenile" 7.4 "Seagrass"
"253" 253 532 "juvenile" 16.1 "Mudflat"
"254" 254 619 "adult" 13.1 "Seagrass"
"255" 255 1050 "adult" 24.2 "Rocky"
"256" 256 582 "juvenile" 12.7 "Seagrass"
"257" 257 876 "adult" 10.2 "Seagrass"
"258" 258 748 "juvenile" 13.8 "Rocky"
"259" 259 577 "juvenile" 6.6 "Rocky"
"260" 260 351 "adult" 7.9 "Mudflat"
"261" 261 500 "juvenile" 15.5 "Seagrass"
"262" 262 505 "juvenile" 10.2 "Seagrass"
"263" 263 610 "juvenile" 11.6 "Seagrass"
"264" 264 946 "adult" 11.3 "Mudflat"
"265" 265 1339 "adult" 8.7 "Seagrass"
"266" 266 1031 "juvenile" 4.4 "Rocky"
"267" 267 573 "juvenile" 14.3 "Rocky"
"268" 268 324 "adult" 17.6 "Seagrass"
"269" 269 524 "adult" 6.3 "Mudflat"
"270" 270 619 "adult" 25.2 "Seagrass"
"271" 271 806 "juvenile" 14.5 "Seagrass"
"272" 272 840 "adult" 23.5 "Seagrass"
"273" 273 762 "juvenile" 7.4 "Sand"
"274" 274 368 "adult" 13 "Seagrass"
"275" 275 808 "adult" 11.4 "Rocky"
"276" 276 513 "juvenile" 17.6 "Rocky"
"277" 277 638 "adult" 9 "Seagrass"
"278" 278 616 "juvenile" 11.9 "Seagrass"
"279" 279 697 "juvenile" 4.9 "Mudflat"
"280" 280 605 "juvenile" 8.1 "Mudflat"
"281" 281 335 "juvenile" 12.8 "Seagrass"
"282" 282 776 "adult" 8.4 "Seagrass"
"283" 283 687 "juvenile" 11.7 "Seagrass"
"284" 284 547 "juvenile" 9.5 "Mudflat"
"285" 285 625 "juvenile" 16.3 "Sand"
"286" 286 629 "adult" 21.5 "Seagrass"
"287" 287 648 "juvenile" 8 "Sand"
"288" 288 1066 "adult" 10.3 "Seagrass"
"289" 289 556 "adult" 24.7 "Rocky"
"290" 290 636 "juvenile" 4 "Seagrass"
"291" 291 903 "adult" 10.2 "Seagrass"
"292" 292 868 "adult" 33.7 "Seagrass"
"293" 293 896 "juvenile" 35.9 "Seagrass"
"294" 294 490 "juvenile" 13 "Seagrass"
"295" 295 1209 "adult" 7.8 "Seagrass"
"296" 296 614 "juvenile" 13 "Seagrass"
"297" 297 1153 "juvenile" 8.7 "Rocky"
"298" 298 374 "adult" 24.8 "Seagrass"
"299" 299 604 "adult" 8 "Seagrass"
"300" 300 929 "adult" 14.5 "Rocky"
"301" 301 467 "juvenile" 16.4 "Seagrass"
"302" 302 461 "juvenile" 8.2 "Seagrass"
"303" 303 432 "adult" 18.4 "Seagrass"
"304" 304 415 "adult" 8.3 "Mudflat"
"305" 305 515 "juvenile" 16.4 "Sand"
"306" 306 674 "adult" 20.8 "Seagrass"
"307" 307 296 "adult" 7.3 "Rocky"
"308" 308 646 "adult" 20.9 "Seagrass"
"309" 309 925 "adult" 9.4 "Seagrass"
"310" 310 1224 "adult" 13.9 "Seagrass"
"311" 311 946 "adult" 13.3 "Seagrass"
"312" 312 782 "juvenile" 9.7 "Rocky"
"313" 313 328 "juvenile" 13.7 "Seagrass"
"314" 314 486 "adult" 6.5 "Sand"
"315" 315 530 "adult" 11.2 "Mudflat"
"316" 316 768 "adult" 18.1 "Seagrass"
"317" 317 578 "adult" 4 "Rocky"
"318" 318 386 "adult" 5.7 "Seagrass"
"319" 319 1082 "adult" 6.7 "Seagrass"
"320" 320 825 "adult" 5.4 "Mudflat"
"321" 321 652 "juvenile" 14.8 "Rocky"
"322" 322 919 "adult" 7.3 "Seagrass"
"323" 323 376 "juvenile" 4.1 "Seagrass"
"324" 324 756 "adult" 8.7 "Seagrass"
"325" 325 500 "juvenile" 9.9 "Rocky"
"326" 326 762 "adult" 18.4 "Seagrass"
"327" 327 587 "adult" 6.9 "Seagrass"
"328" 328 749 "adult" 21.4 "Mudflat"
"329" 329 958 "adult" 14.6 "Seagrass"
"330" 330 602 "adult" 14.4 "Seagrass"
"331" 331 857 "juvenile" 7.8 "Seagrass"
"332" 332 396 "juvenile" 31.9 "Seagrass"
"333" 333 466 "juvenile" 11.1 "Rocky"
"334" 334 1021 "adult" 4.8 "Mudflat"
"335" 335 685 "adult" 10.8 "Rocky"
"336" 336 293 "adult" 4.6 "Mudflat"
"337" 337 372 "adult" 10.3 "Rocky"
"338" 338 559 "adult" 9.7 "Mudflat"
"339" 339 812 "juvenile" 16.9 "Sand"
"340" 340 579 "adult" 19.9 "Seagrass"
"341" 341 746 "adult" 8.3 "Seagrass"
"342" 342 839 "juvenile" 18 "Rocky"
"343" 343 1077 "adult" 24.5 "Mudflat"
"344" 344 612 "adult" 8.1 "Mudflat"
"345" 345 589 "juvenile" 8.7 "Mudflat"
"346" 346 325 "adult" 16.6 "Rocky"
"347" 347 621 "adult" 13.2 "Seagrass"
"348" 348 491 "adult" 15.8 "Rocky"
"349" 349 427 "adult" 24.2 "Mudflat"
"350" 350 563 "juvenile" 14.6 "Seagrass"
"351" 351 856 "juvenile" 20.3 "Rocky"
"352" 352 299 "adult" 16.4 "Seagrass"
"353" 353 517 "adult" 14.9 "Rocky"
"354" 354 625 "adult" 14.6 "Seagrass"
"355" 355 439 "adult" 22.9 "Seagrass"
"356" 356 674 "adult" 7.3 "Mudflat"
"357" 357 693 "juvenile" 6.9 "Seagrass"
"358" 358 593 "adult" 16.1 "Mudflat"
"359" 359 253 "adult" 11.3 "Sand"
"360" 360 1476 "juvenile" 12.5 "Seagrass"
"361" 361 558 "juvenile" 17.4 "Mudflat"
"362" 362 754 "adult" 17.5 "Seagrass"
"363" 363 660 "juvenile" 10.5 "Rocky"
"364" 364 859 "adult" 10.3 "Rocky"
"365" 365 799 "adult" 12.4 "Seagrass"
"366" 366 558 "adult" 20.4 "Seagrass"
"367" 367 685 "adult" 14.8 "Rocky"
"368" 368 431 "juvenile" 24.6 "Seagrass"
"369" 369 810 "adult" 12 "Seagrass"
"370" 370 511 "juvenile" 21.1 "Mudflat"
"371" 371 1398 "adult" 18.7 "Seagrass"
"372" 372 337 "adult" 16.3 "Mudflat"
"373" 373 510 "juvenile" 14.8 "Seagrass"
"374" 374 801 "adult" 10.4 "Sand"
"375" 375 717 "adult" 11.4 "Seagrass"
"376" 376 488 "juvenile" 13.5 "Sand"
"377" 377 423 "adult" 12.3 "Seagrass"
"378" 378 631 "adult" 19.2 "Rocky"
"379" 379 597 "adult" 11.4 "Mudflat"
"380" 380 321 "adult" 11.6 "Mudflat"
"381" 381 607 "juvenile" 9.4 "Rocky"
"382" 382 641 "adult" 11.2 "Seagrass"
"383" 383 638 "adult" 11.6 "Seagrass"
"384" 384 415 "adult" 3.8 "Seagrass"
"385" 385 709 "juvenile" 6.1 "Seagrass"
"386" 386 972 "adult" 11.6 "Seagrass"
"387" 387 704 "adult" 10.5 "Sand"
"388" 388 403 "adult" 6.6 "Seagrass"
"389" 389 515 "adult" 4.4 "Seagrass"
"390" 390 677 "adult" 10.1 "Mudflat"
"391" 391 478 "juvenile" 16.6 "Mudflat"
"392" 392 282 "juvenile" 29.1 "Seagrass"
"393" 393 818 "juvenile" 11.8 "Seagrass"
"394" 394 449 "adult" 25.3 "Seagrass"
"395" 395 491 "adult" 12.5 "Seagrass"
"396" 396 1016 "adult" 12.7 "Rocky"
"397" 397 458 "adult" 14.1 "Mudflat"
"398" 398 807 "adult" 7.8 "Mudflat"
"399" 399 386 "juvenile" 11.7 "Mudflat"
"400" 400 530 "adult" 18.9 "Seagrass"
"401" 401 585 "adult" 8.2 "Mudflat"
"402" 402 399 "adult" 10.2 "Seagrass"
"403" 403 480 "adult" 6.8 "Seagrass"
"404" 404 594 "juvenile" 14.3 "Seagrass"
"405" 405 759 "juvenile" 14.8 "Seagrass"
"406" 406 337 "adult" 16.6 "Seagrass"
"407" 407 531 "juvenile" 6.5 "Sand"
"408" 408 782 "adult" 12.7 "Seagrass"
"409" 409 497 "adult" 7.5 "Sand"
"410" 410 650 "adult" 12 "Seagrass"
"411" 411 713 "adult" 23.5 "Seagrass"
"412" 412 659 "juvenile" 9.3 "Mudflat"
"413" 413 754 "adult" 17.2 "Seagrass"
"414" 414 575 "juvenile" 8.2 "Sand"
"415" 415 519 "juvenile" 9.4 "Sand"
"416" 416 238 "adult" 14.9 "Mudflat"
"417" 417 581 "adult" 8.5 "Rocky"
"418" 418 698 "adult" 5.1 "Seagrass"
"419" 419 724 "adult" 22.6 "Rocky"
"420" 420 494 "adult" 14.4 "Seagrass"
"421" 421 1119 "adult" 9 "Seagrass"
"422" 422 663 "adult" 4.4 "Mudflat"
"423" 423 627 "adult" 31.1 "Sand"
"424" 424 937 "juvenile" 65.4 "Seagrass"
"425" 425 467 "adult" 13.3 "Seagrass"
"426" 426 513 "juvenile" 18.4 "Seagrass"
"427" 427 1389 "adult" 22.1 "Seagrass"
"428" 428 602 "adult" 8.4 "Mudflat"
"429" 429 1063 "adult" 10.1 "Seagrass"
"430" 430 363 "juvenile" 5.1 "Sand"
"431" 431 561 "juvenile" 8.3 "Seagrass"
"432" 432 685 "adult" 16.4 "Seagrass"
"433" 433 666 "adult" 10.4 "Seagrass"
"434" 434 422 "juvenile" 10.8 "Mudflat"
"435" 435 604 "juvenile" 11.3 "Seagrass"
"436" 436 412 "juvenile" 4.7 "Mudflat"
"437" 437 770 "adult" 18.2 "Rocky"
"438" 438 877 "adult" 5.8 "Sand"
"439" 439 275 "adult" 10.8 "Mudflat"
"440" 440 925 "juvenile" 9.6 "Seagrass"
"441" 441 389 "adult" 10.8 "Mudflat"
"442" 442 704 "juvenile" 24.9 "Mudflat"
"443" 443 756 "juvenile" 9 "Mudflat"
"444" 444 559 "juvenile" 8.1 "Mudflat"
"445" 445 479 "adult" 5.6 "Mudflat"
"446" 446 636 "juvenile" 8 "Seagrass"
"447" 447 700 "juvenile" 6.7 "Seagrass"
"448" 448 817 "juvenile" 14.7 "Seagrass"
"449" 449 293 "adult" 7.8 "Rocky"
"450" 450 338 "adult" 14 "Seagrass"
"451" 451 990 "adult" 11.2 "Seagrass"
"452" 452 865 "juvenile" 5.9 "Seagrass"
"453" 453 699 "adult" 8.1 "Seagrass"
"454" 454 771 "adult" 18.7 "Seagrass"
"455" 455 827 "adult" 18.8 "Seagrass"
"456" 456 236 "adult" 32.7 "Seagrass"
"457" 457 885 "adult" 12 "Seagrass"
"458" 458 506 "juvenile" 5.7 "Seagrass"
"459" 459 650 "adult" 8.2 "Mudflat"
"460" 460 541 "juvenile" 14.7 "Seagrass"
"461" 461 814 "juvenile" 31 "Rocky"
"462" 462 531 "adult" 12.7 "Mudflat"
"463" 463 719 "adult" 21.2 "Seagrass"
"464" 464 523 "adult" 17.6 "Seagrass"
"465" 465 409 "juvenile" 6.7 "Rocky"
"466" 466 916 "adult" 11 "Rocky"
"467" 467 778 "juvenile" 23 "Mudflat"
"468" 468 1097 "adult" 18.6 "Seagrass"
"469" 469 614 "adult" 15.1 "Seagrass"
"470" 470 890 "adult" 15.2 "Seagrass"
"471" 471 1198 "adult" 9.4 "Seagrass"
"472" 472 544 "adult" 6.2 "Mudflat"
"473" 473 378 "adult" 22.9 "Mudflat"
"474" 474 552 "juvenile" 5.9 "Rocky"
"475" 475 557 "adult" 7.5 "Mudflat"
"476" 476 633 "juvenile" 16.4 "Mudflat"
"477" 477 1093 "adult" 6.4 "Seagrass"
"478" 478 535 "adult" 9.1 "Seagrass"
"479" 479 684 "adult" 6.6 "Mudflat"
"480" 480 554 "adult" 16.4 "Sand"
"481" 481 604 "adult" 15 "Seagrass"
"482" 482 670 "adult" 14.8 "Mudflat"
"483" 483 955 "juvenile" 15 "Seagrass"
"484" 484 626 "adult" 15.9 "Seagrass"
"485" 485 770 "adult" 16.5 "Seagrass"
"486" 486 788 "adult" 4.5 "Seagrass"
"487" 487 826 "adult" 11.1 "Sand"
"488" 488 491 "adult" 12.7 "Rocky"
"489" 489 1060 "juvenile" 17.2 "Mudflat"
"490" 490 525 "juvenile" 6.6 "Rocky"
"491" 491 578 "adult" 9.3 "Seagrass"
"492" 492 981 "adult" 7 "Seagrass"
"493" 493 944 "adult" 20.4 "Seagrass"
"494" 494 410 "juvenile" 22.7 "Rocky"
"495" 495 442 "juvenile" 17.8 "Seagrass"
"496" 496 373 "juvenile" 6.5 "Rocky"
"497" 497 639 "juvenile" 15 "Rocky"
"498" 498 636 "juvenile" 21.3 "Mudflat"
"499" 499 682 "adult" 13.1 "Mudflat"
"500" 500 728 "adult" 9 "Seagrass"
"501" 501 486 "juvenile" 7 "Seagrass"
"502" 502 424 "adult" 8.6 "Mudflat"
"503" 503 859 "adult" 17.2 "Mudflat"
"504" 504 780 "juvenile" 9.7 "Seagrass"
"505" 505 354 "juvenile" 13.4 "Mudflat"
"506" 506 580 "juvenile" 22.9 "Seagrass"
"507" 507 438 "adult" 16 "Seagrass"
"508" 508 291 "adult" 23.7 "Seagrass"
"509" 509 632 "juvenile" 5.1 "Mudflat"
"510" 510 584 "adult" 10.4 "Rocky"
"511" 511 580 "adult" 12.4 "Sand"
"512" 512 647 "adult" 16 "Seagrass"
"513" 513 817 "adult" 6.7 "Mudflat"
"514" 514 645 "juvenile" 18 "Seagrass"
"515" 515 484 "adult" 14 "Mudflat"
"516" 516 464 "juvenile" 13.7 "Seagrass"
"517" 517 573 "adult" 15.5 "Seagrass"
"518" 518 669 "adult" 11.3 "Seagrass"
"519" 519 417 "juvenile" 19.1 "Mudflat"
"520" 520 563 "adult" 16.6 "Seagrass"
"521" 521 842 "juvenile" 11.1 "Seagrass"
"522" 522 578 "adult" 20.2 "Seagrass"
"523" 523 470 "adult" 13.9 "Seagrass"
"524" 524 545 "adult" 16.8 "Seagrass"
"525" 525 886 "adult" 8.9 "Seagrass"
"526" 526 727 "juvenile" 26.4 "Seagrass"
"527" 527 925 "adult" 12 "Seagrass"
"528" 528 630 "juvenile" 18.3 "Mudflat"
"529" 529 693 "adult" 11.4 "Sand"
"530" 530 493 "adult" 10.4 "Rocky"
"531" 531 742 "juvenile" 17.8 "Seagrass"
"532" 532 503 "adult" 5.4 "Sand"
"533" 533 365 "adult" 15.2 "Mudflat"
"534" 534 627 "juvenile" 14.6 "Mudflat"
"535" 535 1186 "juvenile" 3.1 "Sand"
"536" 536 794 "adult" 14.4 "Seagrass"
"537" 537 902 "adult" 4.1 "Rocky"
"538" 538 680 "juvenile" 16.7 "Seagrass"
"539" 539 485 "juvenile" 9.6 "Mudflat"
"540" 540 559 "juvenile" 8.5 "Seagrass"
"541" 541 545 "adult" 12 "Seagrass"
"542" 542 509 "juvenile" 23.8 "Rocky"
"543" 543 768 "adult" 8.7 "Seagrass"
"544" 544 395 "adult" 15.9 "Mudflat"
"545" 545 813 "adult" 14.2 "Sand"
"546" 546 812 "adult" 6.7 "Sand"
"547" 547 394 "juvenile" 5 "Sand"
"548" 548 751 "juvenile" 4.4 "Sand"
"549" 549 1405 "juvenile" 15.8 "Seagrass"
"550" 550 494 "adult" 11.8 "Rocky"
"551" 551 806 "juvenile" 30.3 "Rocky"
"552" 552 456 "juvenile" 16 "Seagrass"
"553" 553 885 "juvenile" 18.4 "Mudflat"
