"Lake" "Day" "Depth" "Effort" "Count" "FishlessLake"
"65" "11" 5 29.5787954395637 1.81 0 0
"66" "11" 6 29.5787954395637 5.79 2 0
"67" "11" 7 29.5787954395637 3.81 0 0
"68" "11" 8 29.5787954395637 3.33 2 0
"69" "12" 1 27.0054312031716 2.71 0 0
"70" "12" 2 27.0054312031716 5.34 2 0
"71" "12" 3 27.0054312031716 2.5 4 0
"72" "13" 1 26.8211337020621 2.09 5 0
"73" "13" 2 26.8211337020621 1.44 0 0
"74" "13" 3 26.8211337020621 1.45 0 0
"75" "13" 4 26.8211337020621 3.15 1 0
"76" "14" 1 6.90147420763969 1.89 2 0
"77" "14" 2 6.90147420763969 1.69 1 0
"78" "14" 3 6.90147420763969 4.21 5 0
"79" "14" 4 6.90147420763969 0.76 2 0
"80" "14" 5 6.90147420763969 4.35 1 0
"81" "15" 1 5.65947936382145 2.44 0 0
"82" "15" 2 5.65947936382145 2.75 5 0
"83" "15" 3 5.65947936382145 5.02 5 0
"84" "15" 4 5.65947936382145 5.55 8 0
"85" "15" 5 5.65947936382145 2.05 0 0
"86" "15" 6 5.65947936382145 5.79 6 0
"87" "15" 7 5.65947936382145 4.51 3 0
"88" "16" 1 20.2868539011106 4.28 0 0
"89" "16" 2 20.2868539011106 0.79 1 0
"90" "16" 3 20.2868539011106 2.67 0 0
"91" "16" 4 20.2868539011106 3.13 4 0
"92" "16" 5 20.2868539011106 3.58 5 0
"93" "17" 1 11.6184612233192 4.34 2 0
"94" "17" 2 11.6184612233192 5.54 4 0
"95" "17" 3 11.6184612233192 3.9 2 0
"96" "17" 4 11.6184612233192 2.86 1 0
"97" "17" 5 11.6184612233192 3.48 6 0
"98" "18" 1 20.3892275830731 0.82 0 1
"99" "18" 2 20.3892275830731 1.93 0 1
"100" "18" 3 20.3892275830731 2.68 0 1
"101" "19" 1 10.9704507896677 1.59 0 0
"102" "19" 2 10.9704507896677 5.08 1 0
"103" "19" 3 10.9704507896677 1.34 0 0
"104" "19" 4 10.9704507896677 4.92 4 0
"105" "19" 5 10.9704507896677 3.51 2 0
"106" "19" 6 10.9704507896677 4.14 2 0
"107" "20" 1 7.25535133946687 1.44 0 1
"108" "20" 2 7.25535133946687 3.98 0 1
"109" "20" 3 7.25535133946687 2.22 0 1
"110" "21" 1 23.904240436852 4.49 3 0
"111" "21" 2 23.904240436852 2.69 0 0
"112" "21" 3 23.904240436852 5.83 1 0
"113" "22" 1 4.62065962795168 5.82 0 1
"114" "22" 2 4.62065962795168 4.5 0 1
"115" "22" 3 4.62065962795168 1.91 0 1
"116" "22" 4 4.62065962795168 1.72 0 1
"117" "22" 5 4.62065962795168 3.76 0 1
"118" "22" 6 4.62065962795168 1.97 0 1
"119" "22" 7 4.62065962795168 3.42 0 1
"120" "23" 1 15.069813163951 4.82 1 0
"121" "23" 2 15.069813163951 1.42 0 0
"122" "23" 3 15.069813163951 2.72 3 0
"123" "23" 4 15.069813163951 3.09 3 0
"124" "23" 5 15.069813163951 5.27 4 0
"125" "24" 1 16.3221528772265 5.59 11 0
"126" "24" 2 16.3221528772265 5.35 0 0
"127" "24" 3 16.3221528772265 4.21 1 0
"128" "24" 4 16.3221528772265 5.73 5 0
"129" "25" 1 18.7996908593923 3.34 0 0
"130" "25" 2 18.7996908593923 3.67 0 0
"131" "25" 3 18.7996908593923 2.35 2 0
"132" "25" 4 18.7996908593923 2.41 0 0
"133" "26" 1 11.3190591288731 0.61 1 0
"134" "26" 2 11.3190591288731 3.27 1 0
"135" "26" 3 11.3190591288731 5.29 7 0
"136" "27" 1 15.6811649426818 0.53 0 0
"137" "27" 2 15.6811649426818 0.9 0 0
"138" "27" 3 15.6811649426818 1.4 1 0
"139" "27" 4 15.6811649426818 4.74 13 0
"140" "27" 5 15.6811649426818 4.54 5 0
"141" "27" 6 15.6811649426818 5.85 1 0
"142" "27" 7 15.6811649426818 3.07 2 0
"143" "27" 8 15.6811649426818 0.91 0 0
"144" "28" 1 28.7252671699971 4.07 1 0
"145" "28" 2 28.7252671699971 4.67 1 0
"146" "28" 3 28.7252671699971 1.25 1 0
"147" "28" 4 28.7252671699971 2.68 0 0
"148" "28" 5 28.7252671699971 1.74 1 0
"149" "29" 1 15.5212671207264 0.82 0 0
"150" "29" 2 15.5212671207264 2.68 1 0
"151" "29" 3 15.5212671207264 0.86 0 0
"152" "29" 4 15.5212671207264 1.74 3 0
"153" "29" 5 15.5212671207264 0.8 0 0
"154" "29" 6 15.5212671207264 4.19 1 0
"155" "30" 1 26.9298062194139 2.14 0 0
"156" "30" 2 26.9298062194139 1.05 0 0
"157" "30" 3 26.9298062194139 0.9 0 0
"158" "30" 4 26.9298062194139 5.34 3 0
"159" "30" 5 26.9298062194139 4.65 0 0
"160" "30" 6 26.9298062194139 4.99 1 0
"161" "30" 7 26.9298062194139 5.9 0 0
"162" "30" 8 26.9298062194139 1.07 0 0
"163" "31" 1 27.6042692335322 1.04 1 0
"164" "31" 2 27.6042692335322 4.89 1 0
"165" "31" 3 27.6042692335322 4.82 0 0
"166" "32" 1 19.0445795049891 0.55 0 0
"167" "32" 2 19.0445795049891 4.78 6 0
"168" "32" 3 19.0445795049891 4.51 16 0
"169" "32" 4 19.0445795049891 3.97 2 0
"170" "32" 5 19.0445795049891 3.15 2 0
"171" "33" 1 13.4993137428537 1.36 0 1
"172" "33" 2 13.4993137428537 0.55 0 1
"173" "33" 3 13.4993137428537 2.99 0 1
"174" "33" 4 13.4993137428537 3.21 0 1
"175" "33" 5 13.4993137428537 2.64 0 1
"176" "33" 6 13.4993137428537 3.06 0 1
"177" "33" 7 13.4993137428537 4.42 0 1
"178" "34" 1 6.11865134630352 0.8 3 0
"179" "34" 2 6.11865134630352 2.45 0 0
"180" "34" 3 6.11865134630352 4.92 2 0
"181" "34" 4 6.11865134630352 5.1 4 0
"182" "34" 5 6.11865134630352 1.81 8 0
"183" "34" 6 6.11865134630352 2.45 3 0
"184" "35" 1 28.1883944915608 5.21 5 0
"185" "35" 2 28.1883944915608 5.2 8 0
"186" "35" 3 28.1883944915608 2.13 0 0
"187" "35" 4 28.1883944915608 1.31 0 0
"188" "36" 1 10.4344091992825 4.37 0 1
"189" "36" 2 10.4344091992825 1.07 0 1
"190" "36" 3 10.4344091992825 0.69 0 1
"191" "36" 4 10.4344091992825 6 0 1
"192" "36" 5 10.4344091992825 0.69 0 1
"193" "36" 6 10.4344091992825 2.36 0 1
"194" "36" 7 10.4344091992825 5.53 0 1
"195" "37" 1 3.70017600338906 3.89 24 0
"196" "37" 2 3.70017600338906 2.07 2 0
"197" "37" 3 3.70017600338906 4.56 22 0
"198" "38" 1 28.5363543210551 5.09 0 1
"199" "38" 2 28.5363543210551 2.23 0 1
"200" "38" 3 28.5363543210551 3.21 0 1
"201" "39" 1 22.1766956560314 4.34 0 1
"202" "39" 2 22.1766956560314 4.03 0 1
"203" "39" 3 22.1766956560314 4.04 0 1
"204" "39" 4 22.1766956560314 5.88 0 1
"205" "40" 1 5.984240276739 2.78 2 0
"206" "40" 2 5.984240276739 1.16 1 0
"207" "40" 3 5.984240276739 3.39 1 0
"208" "40" 4 5.984240276739 1.74 3 0
"209" "40" 5 5.984240276739 3.18 2 0
"210" "41" 1 17.3799703698605 2.54 2 0
"211" "41" 2 17.3799703698605 5.91 2 0
"212" "41" 3 17.3799703698605 2.64 0 0
"213" "41" 4 17.3799703698605 1.76 1 0
"214" "41" 5 17.3799703698605 3.93 2 0
"215" "41" 6 17.3799703698605 1.25 1 0
"216" "42" 1 28.71455467958 5.82 0 0
"217" "42" 2 28.71455467958 3.33 0 0
"218" "42" 3 28.71455467958 1.4 0 0
"219" "42" 4 28.71455467958 3.92 0 0
"220" "42" 5 28.71455467958 5.92 0 0
"221" "42" 6 28.71455467958 4.18 1 0
"222" "42" 7 28.71455467958 2.8 0 0
"223" "43" 1 18.3935338873416 2.28 0 0
"224" "43" 2 18.3935338873416 5.09 5 0
"225" "43" 3 18.3935338873416 1.29 0 0
"226" "43" 4 18.3935338873416 1.56 2 0
"227" "43" 5 18.3935338873416 5.43 2 0
"228" "43" 6 18.3935338873416 2.19 0 0
"229" "43" 7 18.3935338873416 2.5 3 0
"230" "44" 1 13.3262878889218 4.81 0 1
"231" "44" 2 13.3262878889218 1.56 0 1
"232" "44" 3 13.3262878889218 0.6 0 1
"233" "44" 4 13.3262878889218 2.74 0 1
"234" "44" 5 13.3262878889218 3.16 0 1
"235" "45" 1 20.1410174211487 2.82 1 0
"236" "45" 2 20.1410174211487 2.39 1 0
"237" "45" 3 20.1410174211487 5.27 1 0
"238" "45" 4 20.1410174211487 3 0 0
"239" "45" 5 20.1410174211487 3.44 0 0
"240" "45" 6 20.1410174211487 5.8 3 0
"241" "45" 7 20.1410174211487 4.76 1 0
"242" "45" 8 20.1410174211487 1.65 2 0
"243" "46" 1 10.9549772785977 2.2 0 0
"244" "46" 2 10.9549772785977 5.84 5 0
"245" "46" 3 10.9549772785977 3.72 2 0
"246" "47" 1 10.6161603042856 4.68 0 1
"247" "47" 2 10.6161603042856 2.55 0 1
"248" "47" 3 10.6161603042856 4.73 0 1
"249" "47" 4 10.6161603042856 3.46 0 1
"250" "48" 1 8.1534936754033 5.53 0 1
"251" "48" 2 8.1534936754033 1.52 0 1
"252" "48" 3 8.1534936754033 2.05 0 1
"253" "48" 4 8.1534936754033 1.02 0 1
"254" "48" 5 8.1534936754033 1.66 0 1
"255" "48" 6 8.1534936754033 5.87 0 1
"256" "48" 7 8.1534936754033 2.13 0 1
"257" "49" 1 12.3456882433966 4.49 1 0
"258" "49" 2 12.3456882433966 4.82 0 0
"259" "49" 3 12.3456882433966 1.08 4 0
"260" "49" 4 12.3456882433966 1.82 2 0
"261" "49" 5 12.3456882433966 1.99 5 0
"262" "49" 6 12.3456882433966 1.06 0 0
"263" "49" 7 12.3456882433966 1.15 0 0
"264" "50" 1 29.5581376971677 5.95 5 0
"265" "50" 2 29.5581376971677 5.92 0 0
"266" "50" 3 29.5581376971677 1.25 0 0
"267" "50" 4 29.5581376971677 5.48 0 0
"268" "50" 5 29.5581376971677 3.67 0 0
"269" "50" 6 29.5581376971677 2.67 0 0
"270" "51" 1 6.31766442302614 2.97 1 0
"271" "51" 2 6.31766442302614 4.39 4 0
"272" "51" 3 6.31766442302614 0.95 0 0
"273" "51" 4 6.31766442302614 2.37 2 0
"274" "51" 5 6.31766442302614 4.24 1 0
"275" "51" 6 6.31766442302614 2.24 0 0
"276" "51" 7 6.31766442302614 5.07 1 0
"277" "52" 1 4.54923199675977 1.68 5 0
"278" "52" 2 4.54923199675977 3.24 2 0
"279" "52" 3 4.54923199675977 2.02 6 0
"280" "52" 4 4.54923199675977 1.56 3 0
"281" "53" 1 5.97339341789484 5.73 4 0
"282" "53" 2 5.97339341789484 2.27 4 0
"283" "53" 3 5.97339341789484 3.13 0 0
"284" "54" 1 21.3201988423243 0.65 1 0
"285" "54" 2 21.3201988423243 3.51 1 0
"286" "54" 3 21.3201988423243 4.04 13 0
"287" "55" 1 19.339181534946 3.78 4 0
"288" "55" 2 19.339181534946 2.27 1 0
"289" "55" 3 19.339181534946 5.4 1 0
"290" "55" 4 19.339181534946 3.94 0 0
"291" "55" 5 19.339181534946 2.17 6 0
"292" "56" 1 26.9590352801606 2.64 0 0
"293" "56" 2 26.9590352801606 1.38 0 0
"294" "56" 3 26.9590352801606 5.24 4 0
"295" "57" 1 20.8439745930955 5.74 0 1
"296" "57" 2 20.8439745930955 3.6 0 1
"297" "57" 3 20.8439745930955 2.31 0 1
"298" "57" 4 20.8439745930955 5.98 0 1
"299" "57" 5 20.8439745930955 1.79 0 1
"300" "57" 6 20.8439745930955 3.87 0 1
"301" "57" 7 20.8439745930955 1.09 0 1
"302" "57" 8 20.8439745930955 3.18 0 1
"303" "58" 1 22.6381766619161 1.05 0 0
"304" "58" 2 22.6381766619161 1.39 0 0
"305" "58" 3 22.6381766619161 2.06 0 0
"306" "58" 4 22.6381766619161 3.71 0 0
"307" "58" 5 22.6381766619161 4.52 1 0
"308" "58" 6 22.6381766619161 1.41 1 0
"309" "58" 7 22.6381766619161 5.27 0 0
"310" "59" 1 16.5918003218248 4.4 4 0
"311" "59" 2 16.5918003218248 4.68 0 0
"312" "59" 3 16.5918003218248 1.31 5 0
"313" "60" 1 20.4754765909165 2.47 1 0
"314" "60" 2 20.4754765909165 4.2 8 0
"315" "60" 3 20.4754765909165 3.38 2 0
"316" "60" 4 20.4754765909165 2.42 0 0
