"Y.1" "Y.2" "Y.3" "Y.4" "habitat" "elev_s" "effort.1" "effort.2" "effort.3" "effort.4" "J" "n_sites"
"27" 1 2 2 2 "forest" 0.42946966062321 27.0205868424664 18.8600262709326 57.9701138853195 36.4631675749917 4 120
"28" 2 2 2 1 "grassland" -1.39491589405169 35.3550131751158 44.8292423520144 55.9053720616798 46.8303305317559 4 120
"29" 3 3 3 3 "forest" 1.00022322577978 24.5167789314901 37.3030598818406 17.6421779913882 12.3193041078361 4 120
"30" 2 2 2 2 "forest" -0.289463898096316 35.8736729434457 56.9471802610474 25.2569241518342 64.9486693666741 4 120
"31" 1 1 1 1 "wetland" 1.23798228566333 45.0838406801281 28.7020695450559 41.539644304962 83.2796191068951 4 120
"32" 1 2 2 2 "wetland" -0.829124462694582 17.0577150932598 30.1521271288204 30.4204801691315 18.8633215914398 4 120
"33" 4 4 4 4 "forest" 1.7355396059437 16.7661606308554 37.7483724584119 25.579886497453 22.5958288060183 4 120
"34" 1 1 1 1 "forest" 0.932203064849319 34.6245884330666 37.2752635805728 26.6922160353738 41.1935824501821 4 120
"35" 5 5 5 5 "forest" -0.779110230300997 21.0771999133471 24.2645677707083 37.8065309468681 29.0833027609167 4 120
"36" 0 1 1 1 "forest" -0.583992465969438 46.3853747584119 32.2545319195921 16.6286481580178 50.3641706500139 4 120
"37" 3 3 1 3 "grassland" -0.877050436366185 9.10270671647129 47.7246744569874 27.4748011453314 36.6227029894541 4 120
"38" 3 2 3 2 "grassland" -1.92413838438028 58.3183594843415 38.698244941534 38.6885462397961 17.7545880210472 4 120
"39" 0 0 0 0 "forest" 0.875626396914821 28.924880872337 38.0650658239181 33.8786498654304 35.8122108403407 4 120
"40" 2 3 2 2 "forest" 1.12934037226814 50.8015273500742 24.2716378145288 42.1529697880244 18.4884064188783 4 120
"41" 2 2 2 2 "wetland" -0.121437653741275 41.1853103142177 35.9184411538164 36.1495829014214 28.4377337439169 4 120
"42" 3 3 3 3 "wetland" 0.211913562927964 32.4252192721372 34.0819168132403 35.5073798313225 28.0195220771275 4 120
"43" 0 0 0 0 "grassland" -0.691118095085926 19.1975709992718 26.3564515638777 42.9991768540324 20.8770053440901 4 120
"44" 2 2 2 2 "grassland" 0.0232292218903486 28.5332947374251 42.9511701446793 50.2005468099626 52.2606517847474 4 120
"45" 4 5 5 2 "forest" -0.914595974568521 22.8640861798038 28.2317932099495 21.1510969734431 30.0920734637406 4 120
"46" 0 1 1 1 "forest" 1.53868868813861 15.4549199360404 33.2624882942946 21.5204806113112 35.6634100450449 4 120
"47" 4 4 4 4 "forest" -0.768632521485615 29.5274099370382 59.9670698896008 28.4193596490684 68.6545958509413 4 120
"48" 2 3 3 3 "forest" 0.138747246556046 27.5676658311631 51.8766183127175 32.405267792661 26.6164303794986 4 120
"49" 3 3 0 3 "forest" 0.856533309344649 20.9059722455821 29.3115786257989 20.88633821363 31.4792291929929 4 120
"50" 1 1 1 1 "wetland" 0.160265075831721 24.4671553593607 35.9081958061348 26.4400370004865 27.1735222061614 4 120
"51" 1 3 1 3 "forest" 0.351787886270309 14.3649100162506 46.1561433061119 18.9413284473658 45.3335861196227 4 120
"52" 2 2 2 2 "grassland" -1.02830274481647 20.7109817897847 32.323375027071 14.1694041232803 35.086046845674 4 120
"53" 1 1 1 1 "forest" 1.58150709088818 42.6919751322872 56.1968447903182 41.6700136856275 24.6755351174302 4 120
"54" 1 1 1 1 "wetland" -0.974810354133273 49.3614884353312 27.3986725514414 22.511169655052 43.8673681772484 4 120
"55" 4 3 4 4 "forest" -0.712006013468993 19.7015686274777 40.761657289863 18.9708597371043 19.407549445304 4 120
"56" 0 1 1 1 "forest" 1.20807045796042 22.9925186657645 26.4790024923553 48.2378198553405 32.4265290622607 4 120
"57" 3 3 3 3 "forest" 0.812323868475906 40.2385558811873 17.4443244534052 17.8726837943563 13.985220051892 4 120
"58" 4 4 4 4 "grassland" -0.972589177757529 24.474307027992 20.8830676655733 46.0831953306171 39.6294897208767 4 120
"59" 0 0 0 0 "grassland" -0.332110635685343 25.2872047976253 23.1205680349063 19.3823350378916 30.7222306788883 4 120
"60" 1 1 0 1 "grassland" -0.164122962305672 23.374959025494 19.7528424652784 16.0548146690567 29.6383479315881 4 120
"61" 3 3 4 3 "wetland" -0.252750974854421 32.4719898337275 56.7561982847342 11.320837519103 17.9828583575069 4 120
"62" 3 3 3 3 "grassland" -1.48845718954522 54.6766585992921 37.2680556665443 16.2541642447069 27.1788334131849 4 120
"63" 1 1 1 1 "forest" 2.06048515637707 19.0092883489799 11.6425207394032 31.2096168165784 58.2567452582074 4 120
"64" 6 5 4 6 "grassland" -0.831485267971617 36.5959043650405 36.2210549783315 13.4272470057343 43.8929852037146 4 120
"65" 4 4 4 5 "grassland" -1.8999666332847 52.6962958023247 27.345559246619 37.8720099718011 41.9185725516634 4 120
"66" 3 2 3 3 "grassland" -1.71497973850516 23.3792583101583 31.1455430154502 42.7399929746739 39.5256154267981 4 120
"67" 4 4 5 5 "wetland" 0.649510454336075 22.2988055853058 17.8706828144995 32.0266983550248 39.3794997641354 4 120
"68" 2 2 2 2 "wetland" -0.206625207585096 34.8777285005258 21.3634931599547 21.2647166356113 15.9733444043946 4 120
"69" 1 1 1 1 "grassland" -1.2015766637466 17.7631705046573 12.0032219143875 44.3015440267726 15.0007158137052 4 120
"70" 2 1 2 1 "grassland" 0.312416613436552 30.9522393739915 50.1159733520537 23.4233477042254 24.3122916238106 4 120
"71" 11 11 9 10 "forest" -1.67649967789965 21.8244450427113 58.3645950869534 24.2933957463837 53.1338995016336 4 120
"72" 1 1 1 1 "grassland" -0.06574315873574 60.8124999403089 35.225557469083 14.8534171756471 37.7665763037858 4 120
"73" 8 7 8 8 "forest" -0.356061089846892 20.6275724737828 16.4029365579628 24.5914583017328 22.2701069529669 4 120
"74" 4 4 4 4 "forest" 1.46387308061319 39.7561560855576 19.0268479715414 26.377505220421 32.2294863979082 4 120
"75" 7 8 7 6 "forest" -0.877735000321564 22.1727011418064 34.3394164965175 15.3287386431901 33.0174277561798 4 120
"76" 1 1 1 1 "grassland" -0.410513624954347 24.8766513128235 16.6456034436499 51.0962586916011 25.7532911809011 4 120
"77" 2 2 2 1 "forest" 1.99261141303527 21.4002410215839 26.6942036444105 20.4969693803643 37.6138366649271 4 120
"78" 2 0 1 2 "grassland" -1.18262575232886 19.3865890659185 13.3209669545291 19.5724945999636 28.3384855217811 4 120
"79" 5 5 4 3 "forest" 1.46313614067762 17.6698028958719 23.6551196787937 31.3692508494289 35.910917396807 4 120
"80" 0 0 0 0 "wetland" 0.438005428522933 23.6782953278475 19.6755569588202 34.4611233986134 38.4145866319908 4 120
"81" 0 0 0 0 "grassland" 2.29208264989693 40.4684654594929 19.4881294492562 17.3676732610951 25.7821984741967 4 120
"82" 2 2 2 2 "grassland" -0.18860197175847 21.597710319459 50.0812495249431 25.6236105468389 26.118775503057 4 120
"83" 2 2 2 1 "wetland" -0.485068598727563 14.8108408514303 30.9882681521069 34.0474619125718 23.210918978218 4 120
"84" 5 5 5 4 "forest" 1.49682426288247 25.6818141085145 20.1653500128437 21.3612677061416 35.2386618162254 4 120
"85" 3 3 3 3 "forest" 1.01286596799647 22.9539912717068 22.1617708148946 44.8701142602636 34.3002586268187 4 120
"86" 1 1 1 1 "wetland" 0.705060737549562 39.7656862677946 30.111127501279 12.0733558013123 30.832704042971 4 120
"87" 5 5 5 6 "grassland" -2.60017802638791 21.5450545678559 52.7164819841637 21.5961999283523 23.4863624589442 4 120
"88" 2 1 2 0 "grassland" -0.175136043572882 7.85749418175702 33.7340407981172 36.5021051420786 37.2812108935489 4 120
"89" 6 5 6 6 "forest" 0.0194151236661974 34.405408039449 33.7861620566359 43.4757182484489 19.2722698369746 4 120
"90" 1 3 3 3 "wetland" -0.38385800693837 13.8565525275207 17.1189363172389 30.8518427901758 25.9708002826795 4 120
"91" 7 5 6 7 "forest" -0.450595321299612 32.2106908824435 31.2778893666919 23.9634298239485 26.1575144906207 4 120
"92" 6 6 6 6 "grassland" -1.19496400295643 52.5597732101372 34.8051464730948 49.8488740526082 73.1157834022744 4 120
"93" 2 2 2 2 "grassland" -0.273165916302219 34.8280775514203 15.3441520393305 15.6237674801902 17.0415301721144 4 120
"94" 4 5 4 5 "grassland" -1.5756386982223 29.422393876113 61.2562552612273 36.8102371065173 49.4600542252282 4 120
"95" 1 0 1 1 "grassland" -0.239153093544655 80.3652260614536 12.0661440725146 22.740606038612 47.4521928528779 4 120
"96" 0 0 0 0 "grassland" 1.332422375907 37.6464943244052 15.8833110690002 33.9046591497104 29.3245444575122 4 120
"97" 7 6 5 7 "forest" 0.247718918544167 44.2003850932281 27.1845196214521 14.9893223335769 37.8711752754133 4 120
"98" 2 2 2 2 "wetland" -0.855454446265954 86.6402373027965 26.041656515575 57.7472508771634 25.06436517961 4 120
"99" 0 0 0 0 "grassland" 0.00836475732119775 29.5889308689868 33.3996835273899 36.0966783153554 25.1791314945142 4 120
"100" 1 1 1 1 "forest" 1.63330630916314 25.4660629652417 35.9765563132158 15.2637334736563 32.5625018959114 4 120
"101" 0 0 1 1 "grassland" -0.00399750288040216 28.7816186272154 10.2358726020324 17.9822128496839 30.5160196372121 4 120
"102" 1 2 2 2 "wetland" 0.436194490792443 23.8393512674634 42.4300760091209 63.6378522926365 28.3744403870264 4 120
"103" 2 2 2 2 "forest" 2.00361714219 24.4310976961604 32.0947755748784 38.0988180134244 52.8098660159283 4 120
"104" 1 1 0 1 "grassland" 0.2627950786681 29.3437162822653 19.3921385957882 13.6800556133655 40.0974789096462 4 120
"105" 0 0 0 0 "grassland" 1.42629821857295 20.2837922478876 25.7660603588778 31.0257415396514 44.5263277181041 4 120
"106" 5 6 4 5 "forest" -0.462456914058879 30.7128335068693 20.5315072892057 15.2430321066212 27.7514559276584 4 120
"107" 2 2 1 1 "grassland" -0.370423757906118 30.7509763638535 40.0327667407771 14.3676603137197 22.0340123288711 4 120
"108" 2 2 2 2 "grassland" -1.12099939038502 25.7646303451166 28.1498042000186 30.7973069628024 53.7705372519071 4 120
"109" 0 0 0 0 "wetland" 1.79540651603245 52.9010002459112 14.6754310132142 30.1488468605432 35.3367145697469 4 120
"110" 4 5 4 5 "forest" -1.10003899546708 21.623650360389 54.5276968063388 17.4106884171479 22.7484698420595 4 120
"111" 1 1 1 1 "wetland" 0.965960353239659 24.9876663800552 55.1885591702858 31.9973538080245 30.4529746537466 4 120
"112" 5 5 5 5 "forest" -0.00496661754457128 32.726828358095 36.0412099251715 35.8799360443296 23.4171307376346 4 120
"113" 3 3 2 3 "forest" -0.48417660523181 38.5214784605304 21.6758508472039 16.7643974669916 31.7940586063816 4 120
"114" 1 1 1 1 "grassland" 0.925214327991906 36.8976564329044 45.7572704449665 34.682299738684 46.2921888722101 4 120
"115" 2 2 1 2 "wetland" 1.76125293643733 27.8559000146175 20.866799597278 26.8776785139845 24.7784627623048 4 120
"116" 2 2 2 2 "grassland" -1.2234398817162 29.2413531400213 25.3895211697283 47.3815317981682 31.4387056486916 4 120
"117" 1 1 1 1 "grassland" 0.124619771669288 22.6336502642275 47.1141094513057 25.9296901461251 36.2377017319655 4 120
"118" 4 3 3 2 "grassland" -0.633350158929352 22.6762558578375 43.5819260041458 39.0325276825001 24.0031632086752 4 120
"119" 2 2 1 2 "wetland" 0.0439997283820782 37.545685897243 35.853418613715 18.2970876647681 15.2515820794366 4 120
"120" 1 1 0 1 "wetland" 1.31451791888216 30.5795391115242 29.2987672955341 41.5981205049578 27.6053954228346 4 120
