region	site	depth	presence
R2	R2_25	2.46422853730619	0
R2	R2_26	1.31834037359804	0
R2	R2_27	1.73869138881564	0
R2	R2_28	1.54369892235845	0
R3	R3_1	1.0131853254512	0
R3	R3_2	2.24906902238727	0
R3	R3_3	1.64635783098638	0
R3	R3_4	1.87858875691891	0
R3	R3_5	1.55272827167064	1
R3	R3_6	2.26739586759359	0
R3	R3_7	0.80495237223804	0
R3	R3_8	0.559024263732135	1
R3	R3_9	2.22748226393014	0
R3	R3_10	1.30801476575434	1
R3	R3_11	2.20493810325861	0
R3	R3_12	0.55406469386071	1
R3	R3_13	1.91944732572883	1
R3	R3_14	1.83879734240472	1
R3	R3_15	2.36493956390768	1
R3	R3_16	1.41435180883855	0
R3	R3_17	1.80818528253585	0
R3	R3_18	1.03337223958224	0
R3	R3_19	0.342095502838492	0
R3	R3_20	2.32552501261234	0
R3	R3_21	0.779758000746369	0
R3	R3_22	1.51737558115274	0
R3	R3_23	0.364865451864898	0
R3	R3_24	2.1172168770805	0
R3	R3_25	0.863112842664123	1
R3	R3_26	1.97884320877492	0
R3	R3_27	0.742019697651267	0
R3	R3_28	0.624748683720827	0
R3	R3_29	1.34031240735203	1
R3	R3_30	0.745481420867145	0
R3	R3_31	0.534803985618055	1
R4	R4_1	0.835463821329176	0
R4	R4_2	1.48804946560413	0
R4	R4_3	2.28488873019815	0
R4	R4_4	0.442249797098339	0
R4	R4_5	1.0961143007502	0
R4	R4_6	0.60622180160135	0
R4	R4_7	1.12900089006871	0
R4	R4_8	0.418455940485001	0
R4	R4_9	1.20423147007823	0
R4	R4_10	2.36309694219381	1
R4	R4_11	1.92873726785183	0
R4	R4_12	2.33898358922452	1
R4	R4_13	1.2296283941716	0
R4	R4_14	1.54861136246473	0
R4	R4_15	1.26397523339838	1
R4	R4_16	0.361135159619153	0
R4	R4_17	0.694544399157166	0
R4	R4_18	1.29643487371504	1
R4	R4_19	0.994880099408328	0
R4	R4_20	2.34325928855687	1
R4	R4_21	1.35756658688188	0
R4	R4_22	0.861147212050855	0
R4	R4_23	0.767118470743299	0
R4	R4_24	1.99009721856564	0
R4	R4_25	1.78591003008187	0
R5	R5_1	1.31665479298681	1
R5	R5_2	1.73546203542501	1
R5	R5_3	0.338005847670138	1
R5	R5_4	0.385366139747202	0
R5	R5_5	0.221055182814598	0
R5	R5_6	2.33020940739661	0
R5	R5_7	1.71690935883671	0
R5	R5_8	0.327658853121102	0
R5	R5_9	1.28223068993539	1
R5	R5_10	1.2077244175598	0
R5	R5_11	1.00051967408508	0
R5	R5_12	2.47863812688738	1
R5	R5_13	0.523241712898016	1
R5	R5_14	2.05224450044334	0
R5	R5_15	0.264271929115057	1
R5	R5_16	1.06107939220965	1
R5	R5_17	0.438746381737292	1
R5	R5_18	0.563943669758737	1
R5	R5_19	2.11924412027001	1
R5	R5_20	1.82779357209802	0
R5	R5_21	0.741308999434113	0
R5	R5_22	1.28800394758582	1
R5	R5_23	0.299473354779184	1
R5	R5_24	0.94932217746973	1
R5	R5_25	2.42610113285482	1
R5	R5_26	1.59931405521929	1
R6	R6_1	1.26675785034895	1
R6	R6_2	0.253125920146704	0
R6	R6_3	1.98291095197201	0
R6	R6_4	1.10397192593664	0
R6	R6_5	2.45444340351969	1
R6	R6_6	0.778921494074166	1
R6	R6_7	2.13491715881973	1
R6	R6_8	0.29737415406853	0
R6	R6_9	2.22750100139528	1
R6	R6_10	1.23263375405222	1
R6	R6_11	0.361842312291265	0
R6	R6_12	0.899867162853479	0
R6	R6_13	2.109799766168	1
R6	R6_14	0.76443962007761	0
R6	R6_15	1.50888433940709	1
R6	R6_16	2.10815744735301	0
R6	R6_17	0.270769657567143	1
R6	R6_18	1.78666898403317	0
R6	R6_19	1.77717888932675	0
R6	R6_20	1.21350971441716	0
R6	R6_21	1.14863466508687	1
R6	R6_22	1.44922429062426	0
R6	R6_23	2.32835974320769	0
R6	R6_24	0.653119394183159	1
R6	R6_25	0.632353010587394	0
R6	R6_26	1.10851814392954	1
R6	R6_27	0.900449933670461	1
R6	R6_28	2.17553812079132	0
R6	R6_29	0.525266885757446	0
R6	R6_30	1.28396494872868	0
R6	R6_31	1.13131208028644	0
R6	R6_32	1.45423322319984	1
R6	R6_33	1.67478955723345	0
R6	R6_34	2.44852975066751	1
R6	R6_35	0.657186756283045	0
R6	R6_36	0.677947830781341	0
R6	R6_37	2.01240660157055	1
R7	R7_1	2.11212176010013	1
R7	R7_2	2.21063991077244	1
R7	R7_3	2.34570992235094	1
R7	R7_4	0.273905520327389	0
R7	R7_5	1.00902265720069	0
R7	R7_6	1.39087581466883	1
R7	R7_7	0.352120332792401	1
R7	R7_8	2.02405049335212	1
R7	R7_9	1.87514018993825	1
R7	R7_10	0.225157632119954	0
R7	R7_11	1.25720697566867	1
R7	R7_12	2.30924281757325	1
R7	R7_13	0.199668229371309	1
R7	R7_14	0.805580317601561	0
R7	R7_15	1.30204116944224	0
R7	R7_16	1.56339744422585	1
R7	R7_17	0.734197719022632	0
R7	R7_18	1.11543666291982	1
R7	R7_19	0.979752679169178	0
R7	R7_20	2.36201277375221	1
R7	R7_21	0.396936556324363	0
R7	R7_22	0.268078430183232	0
R7	R7_23	2.41436089109629	1
R7	R7_24	1.16202425975353	1
R7	R7_25	0.988653712719679	1
R7	R7_26	0.508584592305124	0
R7	R7_27	0.230057030543685	0
R7	R7_28	1.67878736630082	1
R7	R7_29	1.48758860006928	1
R7	R7_30	2.46904423348606	1
R7	R7_31	1.54910176359117	1
R8	R8_1	1.05784613396972	0
R8	R8_2	1.20298098903149	1
R8	R8_3	1.14167403653264	1
R8	R8_4	1.34082358330488	1
R8	R8_5	2.13098980635405	1
R8	R8_6	0.232394287362695	0
R8	R8_7	1.43002494685352	1
R8	R8_8	1.75186057016253	1
R8	R8_9	1.67933812886477	1
R8	R8_10	1.69202254060656	1
R8	R8_11	1.23336208611727	1
R8	R8_12	2.42686759866774	1
R8	R8_13	1.06527295056731	0
R8	R8_14	2.13892504908144	1
R8	R8_15	1.91594777777791	1
R8	R8_16	1.37824292648584	1
R8	R8_17	2.19795918595046	1
R8	R8_18	1.22107627745718	0
R8	R8_19	0.119508292898536	0
R8	R8_20	1.8466408111155	1
R8	R8_21	1.81981474906206	1
R8	R8_22	0.549823290482163	1
R8	R8_23	1.65056146439165	1
R8	R8_24	1.40075027160347	1
R8	R8_25	0.904769823513925	0
R8	R8_26	1.63098093569279	1
R8	R8_27	2.09008255321532	1
R8	R8_28	1.80154047627002	1
R8	R8_29	0.936520842090249	1
R8	R8_30	0.407986899837852	1
R8	R8_31	1.03138837330043	0
R8	R8_32	2.32762611601502	1
R8	R8_33	2.0305378511548	1
R8	R8_34	1.92087233699858	1
R8	R8_35	2.39739973340183	1
R9	R9_1	0.773800512775779	0
R9	R9_2	2.39832764975727	0
R9	R9_3	0.480150296166539	1
R9	R9_4	1.10401358008385	0
R9	R9_5	0.704823513701558	1
R9	R9_6	0.326536642573774	0
R9	R9_7	2.08652264717966	0
R9	R9_8	1.36073320899159	0
R9	R9_9	1.70259430594742	0
R9	R9_10	1.07986662350595	0
R9	R9_11	2.12221576813608	0
R9	R9_12	1.86953312307596	0
R9	R9_13	0.935738562420011	0
R9	R9_14	2.37745162583888	0
R9	R9_15	1.65203005596995	1
R9	R9_16	0.184666640497744	0
R9	R9_17	1.5314762936905	0
R9	R9_18	1.09676320366561	0
R9	R9_19	0.284552891552448	0
R9	R9_20	1.36731731016189	0
R9	R9_21	2.4095999404788	0
R9	R9_22	1.80097612272948	0
R9	R9_23	1.42834168858826	0
R9	R9_24	0.683095861598849	1
R9	R9_25	1.96730206962675	1
R9	R9_26	1.66465826425701	0
R9	R9_27	2.09258968941867	0
R9	R9_28	1.65652227383107	1
R9	R9_29	1.2516059063375	0
R9	R9_30	1.2881538534537	0
R9	R9_31	1.01169421952218	0
R9	R9_32	1.18116504922509	0
R9	R9_33	2.05420420113951	0
R9	R9_34	2.32906534187496	1
R9	R9_35	0.453954508528113	0
R9	R9_36	1.89957199599594	0
R9	R9_37	2.4415776392445	1
R9	R9_38	2.43950191233307	0
R10	R10_1	1.74425801243633	0
R10	R10_2	2.36097978297621	1
R10	R10_3	1.72204902507365	0
R10	R10_4	2.12348835617304	0
R10	R10_5	0.968546043895185	0
R10	R10_6	1.04167812447995	0
R10	R10_7	1.46244975421578	0
R10	R10_8	0.328365120664239	0
R10	R10_9	0.565081771835685	0
R10	R10_10	1.51135934330523	0
R10	R10_11	1.90361000355333	0
R10	R10_12	2.18137308936566	1
R10	R10_13	0.992309769243002	0
R10	R10_14	2.01715491898358	0
R10	R10_15	0.239954542182386	0
R10	R10_16	1.59624570254236	1
R10	R10_17	0.955939375981688	0
R10	R10_18	1.51102703772485	0
R10	R10_19	2.29308314081281	0
R10	R10_20	0.578661238960922	0
R10	R10_21	0.985800697281957	0
R10	R10_22	1.71137998662889	0
R10	R10_23	1.94354692175984	1
R10	R10_24	1.35339586250484	0
R10	R10_25	2.08738004323095	1
R10	R10_26	1.36503086723387	0
R11	R11_1	1.65523226987571	0
R11	R11_2	0.275792487338185	0
R11	R11_3	1.11654020417482	0
R11	R11_4	1.37397847399116	0
R11	R11_5	2.36249142959714	0
R11	R11_6	1.80933894254267	0
R11	R11_7	1.83877738118172	0
R11	R11_8	1.22830868251622	0
R11	R11_9	0.38867741394788	1
R11	R11_10	1.97943441011012	0
R11	R11_11	1.15157775301486	0
R11	R11_12	1.13549435157329	0
R11	R11_13	0.165994909591973	1
R11	R11_14	0.451748422905803	0
R11	R11_15	1.11422837916762	0
R11	R11_16	1.94112921822816	0
R11	R11_17	0.111439468897879	0
R11	R11_18	1.54862965960056	0
R11	R11_19	2.2733854252845	0
R11	R11_20	1.79598767664284	1
R11	R11_21	0.730089182220399	0
R11	R11_22	2.14258292671293	1
R11	R11_23	0.900653236173093	0
R11	R11_24	1.48788224216551	1
R11	R11_25	1.13865551259369	0
R11	R11_26	0.223828775249422	0
R11	R11_27	1.85152789093554	0
R11	R11_28	1.41560899429023	0
R11	R11_29	1.90293276533484	0
R11	R11_30	0.221850795298815	1
R11	R11_31	1.81591890975833	0
R11	R11_32	0.814466696232557	0
R11	R11_33	0.780345303378999	1
R11	R11_34	2.09170510582626	0
R11	R11_35	0.307348900474608	1
R12	R12_1	0.600721540860832	0
R12	R12_2	2.49869297239929	1
R12	R12_3	2.27739806361496	0
R12	R12_4	1.80991607625037	1
R12	R12_5	1.85423892140389	1
R12	R12_6	1.23397101070732	0
R12	R12_7	2.17002564873546	1
R12	R12_8	0.496996293775737	0
R12	R12_9	1.58902702145278	1
R12	R12_10	0.801595347933471	0
R12	R12_11	1.19474016111344	0
R12	R12_12	0.209534101560712	0
R12	R12_13	0.52638820502907	1
R12	R12_14	0.23903696294874	0
R12	R12_15	2.36658456046134	1
R12	R12_16	0.92258433829993	0
R12	R12_17	1.34308136962354	0
R12	R12_18	1.60058880466968	1
R12	R12_19	0.669435648806393	0
R12	R12_20	1.3386973945424	1
R12	R12_21	2.03570038657635	1
R12	R12_22	0.935835362784564	0
R12	R12_23	2.16084988713264	1
R12	R12_24	0.182653026841581	0
R12	R12_25	2.43039315007627	1
R12	R12_26	1.8882643269375	0
R12	R12_27	0.755812580324709	1
R13	R13_1	0.283262670785189	0
R13	R13_2	2.19513964168727	1
R13	R13_3	2.39508576542139	0
R13	R13_4	1.31327459160239	0
R13	R13_5	2.31847927309573	0
R13	R13_6	0.422832478582859	0
R13	R13_7	0.672968807630241	0
R13	R13_8	1.27591029293835	0
R13	R13_9	1.23774423226714	0
R13	R13_10	1.14398598168045	0
R13	R13_11	0.194197504222393	1
R13	R13_12	1.64639443643391	1
R13	R13_13	1.81736128050834	0
R13	R13_14	0.944000131078064	0
R13	R13_15	2.3717361971736	0
R13	R13_16	1.88345561735332	0
R13	R13_17	0.221886208839715	0
R13	R13_18	2.45287547409534	1
R13	R13_19	0.622773886099458	1
R13	R13_20	0.18687040489167	0
R13	R13_21	0.725689277052879	1
R13	R13_22	1.82899788618088	1
R13	R13_23	0.694946034811437	1
R13	R13_24	0.663797899708152	0
R13	R13_25	0.150428422912955	0
R14	R14_1	0.10315517578274	1
R14	R14_2	0.257924713939428	0
R14	R14_3	0.306284601613879	1
R14	R14_4	0.131463320367038	1
R14	R14_5	0.905789498239756	0
R14	R14_6	0.386234359629452	1
R14	R14_7	1.52462906893343	1
R14	R14_8	0.189550421759486	0
R14	R14_9	0.122972300462425	0
R14	R14_10	0.487830702215433	0
R14	R14_11	2.09655757173896	0
R14	R14_12	1.94042261037976	1
R14	R14_13	0.754672759398818	1
R14	R14_14	0.551591917313635	0
R14	R14_15	0.641828403435647	0
R14	R14_16	0.248728882148862	0
R14	R14_17	0.243760578334332	0
R14	R14_18	0.455574088916183	1
R14	R14_19	0.275170926190913	0
R14	R14_20	0.202926140464842	1
R14	R14_21	1.35390705354512	0
R14	R14_22	1.99415557458997	0
R14	R14_23	1.76740803550929	1
R14	R14_24	0.259782513603568	0
R14	R14_25	0.143098591640592	0
R14	R14_26	1.16118021607399	0
R14	R14_27	0.478244999609888	0
R14	R14_28	1.82526427805424	1
R14	R14_29	1.78946039807051	1
R15	R15_1	1.64131499249488	0
R15	R15_2	2.1982791852206	1
R15	R15_3	1.52155204098672	0
R15	R15_4	0.729837261326611	0
R15	R15_5	2.22100543379784	0
R15	R15_6	0.550454431027174	0
R15	R15_7	1.27328075747937	0
R15	R15_8	0.123569169081748	1
R15	R15_9	0.965041703730822	0
R15	R15_10	1.1611880581826	0
R15	R15_11	0.401750131323934	0
R15	R15_12	1.59847491439432	0
R15	R15_13	0.825835196115076	0
R15	R15_14	0.675129347667098	0
R15	R15_15	0.960711432620883	0
R15	R15_16	2.24298499003053	1
R15	R15_17	2.47750543616712	0
R15	R15_18	1.85781087391078	0
R15	R15_19	2.48269141186029	0
R15	R15_20	1.39549446906894	0
R15	R15_21	1.14112422838807	0
R15	R15_22	2.41521681807935	0
R15	R15_23	0.45596714373678	1
R15	R15_24	0.259583333879709	0
R15	R15_25	0.158203571289778	0
R15	R15_26	1.56981578040868	0
R15	R15_27	1.77186099532992	0
R15	R15_28	2.02274052929133	1
R15	R15_29	0.430552681349218	0
R16	R16_1	1.06346588768065	0
R16	R16_2	2.24955111201853	1
R16	R16_3	2.20446018893272	0
R16	R16_4	0.811563515104353	0
R16	R16_5	0.418220583349466	0
R16	R16_6	0.738186178356409	0
R16	R16_7	0.113746102713048	0
R16	R16_8	2.06704437155277	0
R16	R16_9	0.519188029505312	0
R16	R16_10	2.12339332494885	0
R16	R16_11	0.500109200179577	0
R16	R16_12	1.9336466440931	0
R16	R16_13	1.34545140974224	0
R16	R16_14	0.754444728046656	1
R16	R16_15	0.923687525838613	0
R16	R16_16	1.79218081627041	0
R16	R16_17	1.51968472283334	0
R16	R16_18	1.22650969028473	1
R16	R16_19	0.907303853332996	0
R16	R16_20	2.42280982881784	0
R16	R16_21	1.65002052094787	1
R16	R16_22	0.571122806146741	0
R16	R16_23	0.957232924364507	0
R16	R16_24	1.33124339710921	0
R16	R16_25	2.21919217724353	0
R16	R16_26	0.46640215665102	0
R16	R16_27	0.653107833862305	0
R16	R16_28	0.49117258824408	0
R16	R16_29	1.57443246170878	0
R16	R16_30	1.30392746534199	0
R16	R16_31	0.551485331356525	0
R16	R16_32	1.07851564623415	0
R16	R16_33	1.4977313125506	0
R16	R16_34	0.84142975602299	0
R17	R17_1	1.31781484838575	0
R17	R17_2	0.370222302153707	1
R17	R17_3	2.27517592273653	1
R17	R17_4	1.09201348759234	1
R17	R17_5	1.23701389078051	0
R17	R17_6	1.81291403211653	1
R17	R17_7	0.680490905232727	0
R17	R17_8	0.819137506186962	1
R17	R17_9	1.79074917156249	1
R17	R17_10	1.95201987531036	0
R17	R17_11	0.133216817304492	0
R17	R17_12	1.42315348833799	0
R17	R17_13	1.66590685714036	0
R17	R17_14	2.335985699296	1
R17	R17_15	1.75694009233266	1
R17	R17_16	0.709041133709252	0
R17	R17_17	1.08649208825082	0
R17	R17_18	0.394938671588898	0
R17	R17_19	0.416719733737409	0
R17	R17_20	1.63628321979195	0
R17	R17_21	0.931416237354278	0
R17	R17_22	1.11461585108191	1
R17	R17_23	2.35458131302148	0
R17	R17_24	1.02133415415883	0
R17	R17_25	0.648604314401746	0
R17	R17_26	1.75666884612292	0
R17	R17_27	0.123659001849592	1
R17	R17_28	1.74671414643526	0
R17	R17_29	2.00001903045922	0
R17	R17_30	1.31798437293619	0
R18	R18_1	2.11149343978614	1
R18	R18_2	0.290230896696448	0
R18	R18_3	1.8221537610516	0
R18	R18_4	2.17508278395981	0
R18	R18_5	2.44853969942778	1
R18	R18_6	0.6979028981179	0
R18	R18_7	0.159665656834841	0
R18	R18_8	0.635147756710648	1
R18	R18_9	0.392861199006438	1
R18	R18_10	1.0245746197179	0
R18	R18_11	0.30239313878119	0
R18	R18_12	0.778196559473872	1
R18	R18_13	1.45979790110141	1
R18	R18_14	0.88850152567029	0
R18	R18_15	2.36433923859149	0
R18	R18_16	1.00552843343467	0
R18	R18_17	2.38795746974647	1
R18	R18_18	0.755806882306933	0
R18	R18_19	1.74959237463772	0
R18	R18_20	0.428780330717564	1
R18	R18_21	2.04450585190207	1
R18	R18_22	1.93025126084685	1
R18	R18_23	1.16177160125226	1
R18	R18_24	1.19602166693658	0
R18	R18_25	1.7330922132358	1
R18	R18_26	0.278554981574416	0
R18	R18_27	1.65190978012979	1
R18	R18_28	1.99579386785626	0
R18	R18_29	0.635959616117179	1
R18	R18_30	0.198265577107668	0
R18	R18_31	1.02315607201308	0
R18	R18_32	0.92582116946578	1
R18	R18_33	1.17128486130387	1
R18	R18_34	1.02839960679412	1
R18	R18_35	2.30396299697459	1
R18	R18_36	0.517642104253173	1
R18	R18_37	0.459689349681139	0
R18	R18_38	1.57167814932764	1
R19	R19_1	0.906153713166714	1
R19	R19_2	0.854163144342601	1
R19	R19_3	1.01829294487834	1
R19	R19_4	0.144511378742754	0
R19	R19_5	0.187693880498409	1
R19	R19_6	2.20843190569431	1
R19	R19_7	1.06495365705341	1
R19	R19_8	1.22651457805187	1
R19	R19_9	1.06560762431473	1
R19	R19_10	1.78501624595374	0
R19	R19_11	1.05799471661448	1
R19	R19_12	1.30469997450709	1
R19	R19_13	0.188737001642585	1
R19	R19_14	0.815141763538122	1
R19	R19_15	2.41082075629383	1
R19	R19_16	2.34423257112503	0
R19	R19_17	2.40663802567869	1
R19	R19_18	2.00222887396812	1
R19	R19_19	1.91146526280791	1
R19	R19_20	0.258319912292063	1
R19	R19_21	0.425211470015347	1
R19	R19_22	0.396638501435518	1
R19	R19_23	1.930105265975	1
R19	R19_24	2.26831771824509	1
R19	R19_25	1.06638181656599	1
R19	R19_26	0.538151218742132	1
R19	R19_27	0.998956525698304	1
R19	R19_28	1.31490082554519	0
R19	R19_29	2.29240642953664	1
R19	R19_30	0.283948434516788	1
R19	R19_31	0.363389257341623	1
R19	R19_32	1.91024133395404	1
R19	R19_33	0.831037061661482	1
R19	R19_34	1.8371431754902	1
R20	R20_1	0.592274164408445	0
R20	R20_2	2.44054411761463	1
R20	R20_3	2.41925170030445	1
R20	R20_4	1.92416877355427	1
R20	R20_5	0.283289277181029	1
R20	R20_6	1.33797730244696	0
R20	R20_7	1.540732466802	1
R20	R20_8	1.14885781817138	0
R20	R20_9	0.103941426798701	0
R20	R20_10	1.14532364346087	1
R20	R20_11	1.3023130454123	1
R20	R20_12	1.70705129466951	1
R20	R20_13	1.76765705626458	1
R20	R20_14	1.97802475448698	1
R20	R20_15	0.43365482930094	0
R20	R20_16	0.491789625398815	1
R20	R20_17	1.92290298435837	1
R20	R20_18	1.16488868184388	0
R20	R20_19	1.61120519302785	1
R20	R20_20	0.350830864720047	0
R20	R20_21	2.10531735345721	1
R20	R20_22	0.901478468626738	0
R20	R20_23	0.578846052661538	0
R20	R20_24	1.76690914351493	1
R20	R20_25	0.498109030537307	0
R20	R20_26	0.277513369172811	0
R20	R20_27	0.191766852326691	1
R20	R20_28	2.13044851981103	0
R20	R20_29	0.996515673585236	1
R20	R20_30	2.21370567344129	1
R20	R20_31	0.316762653924525	0
R21	R21_1	0.443843947909772	0
R21	R21_2	1.46112511064857	1
R21	R21_3	0.901836778782308	0
R21	R21_4	0.388962857425213	0
R21	R21_5	0.714050378091633	1
R21	R21_6	0.948124759458005	0
R21	R21_7	2.09516783040017	1
R21	R21_8	1.97973739970475	1
R21	R21_9	2.35636529773474	1
R21	R21_10	2.11407767608762	1
R21	R21_11	0.457564046047628	0
R21	R21_12	1.51762260422111	0
R21	R21_13	2.07751024160534	1
R21	R21_14	1.61652487684041	0
R21	R21_15	1.22783190757036	0
R21	R21_16	0.720978168584406	1
R21	R21_17	0.158992842026055	0
R21	R21_18	0.889139506407082	1
R21	R21_19	0.639648362621665	0
R21	R21_20	2.20559641458094	0
R21	R21_21	1.72637008167803	0
R21	R21_22	1.36223992872983	1
R21	R21_23	1.43844799343497	0
R21	R21_24	0.693932016193867	0
R21	R21_25	0.117512249946594	0
R21	R21_26	2.37737544439733	1
R21	R21_27	1.82596033252776	1
R21	R21_28	0.77037890702486	0
R21	R21_29	1.88507885448635	0
R21	R21_30	2.1897961622104	1
R21	R21_31	1.01288830041885	1
R21	R21_32	1.82667403817177	1
R21	R21_33	0.675056104920804	0
R22	R22_1	2.17224701456726	0
R22	R22_2	0.723794762417674	0
R22	R22_3	1.75047960299999	0
R22	R22_4	1.17497739084065	0
R22	R22_5	0.623239062167704	0
R22	R22_6	1.74696835614741	0
R22	R22_7	2.40251686070114	0
R22	R22_8	0.722570754215121	1
R22	R22_9	1.22502398062497	0
R22	R22_10	0.871214938350022	0
R22	R22_11	0.495142754912376	0
R22	R22_12	1.81534654088318	0
R22	R22_13	1.36759780328721	1
R22	R22_14	0.663315232284367	0
R22	R22_15	0.254635987617075	0
R22	R22_16	1.72183239087462	1
R22	R22_17	2.03474886845797	0
R22	R22_18	0.377130964584649	0
R22	R22_19	1.76083461120725	0
R22	R22_20	0.15228694844991	1
R22	R22_21	0.967304100655019	1
R22	R22_22	1.8574721198529	1
R22	R22_23	0.850295300595462	0
R22	R22_24	1.17316732779145	0
R22	R22_25	2.08105376325548	1
R22	R22_26	0.896309116482735	0
R22	R22_27	0.445660401321948	0
R22	R22_28	0.822209805063903	0
R22	R22_29	0.4902443125844	0
R22	R22_30	2.11473178807646	0
R22	R22_31	1.69433794524521	0
R22	R22_32	0.433281533420086	0
R22	R22_33	0.882116353325546	0
R22	R22_34	2.09543252531439	0
R22	R22_35	2.07409385051578	0
R22	R22_36	0.458559808880091	1
R22	R22_37	1.11107125487179	0
R22	R22_38	1.16843836363405	1
R22	R22_39	2.22142570186406	0
R23	R23_1	1.28919887896627	0
R23	R23_2	2.15979029666632	0
R23	R23_3	1.85743564851582	0
R23	R23_4	2.43862837720662	0
R23	R23_5	0.340131783299148	0
R23	R23_6	2.09821800887585	0
R23	R23_7	1.18133002687246	1
R23	R23_8	2.14110192600638	0
R23	R23_9	1.46740370485932	1
R23	R23_10	2.40770203340799	0
R23	R23_11	2.39140176139772	1
R23	R23_12	0.781070821359754	0
R23	R23_13	1.8750555947423	1
R23	R23_14	0.26978218164295	0
R23	R23_15	2.26028691232204	0
R23	R23_16	0.420209374278784	0
R23	R23_17	1.43412658646703	1
R23	R23_18	1.54097927808762	0
R23	R23_19	0.419106493517756	0
R23	R23_20	1.3223496094346	1
R23	R23_21	0.980919778160751	0
R23	R23_22	0.107930913753808	0
R23	R23_23	0.215151664800942	0
R23	R23_24	2.21691628042608	1
R23	R23_25	2.07644089628011	1
R23	R23_26	1.09127416238189	0
R23	R23_27	2.31215972322971	1
R23	R23_28	1.24576704017818	0
R23	R23_29	1.23998661655933	0
R24	R24_1	2.29973857197911	1
R24	R24_2	2.06765100117773	1
R24	R24_3	1.46056277826428	1
R24	R24_4	1.57714518699795	0
R24	R24_5	2.00752069577575	0
R24	R24_6	1.15527171641588	0
R24	R24_7	1.09020940754563	1
R24	R24_8	1.45716468431056	1
R24	R24_9	0.46395479682833	1
R24	R24_10	2.03790602907538	1
R24	R24_11	1.28953927922994	1
R24	R24_12	0.437222039327025	1
R24	R24_13	0.364694269932807	0
R24	R24_14	0.365898552164435	1
R24	R24_15	0.11131427064538	1
R24	R24_16	0.672170452587306	0
R24	R24_17	2.20917491000146	0
R24	R24_18	0.285324777662754	0
R24	R24_19	0.432492544315755	1
R24	R24_20	0.214058979786932	1
R24	R24_21	0.181405296176672	0
R24	R24_22	2.29861364401877	1
R24	R24_23	2.11648094542325	1
R24	R24_24	0.529291399568319	0
R24	R24_25	1.28864306826144	1
R24	R24_26	0.836700464971364	1
R24	R24_27	0.758504708483815	1
R24	R24_28	0.407785253040493	1
R24	R24_29	1.13051659185439	1
R25	R25_1	1.57733156532049	0
R25	R25_2	0.927967960946262	0
R25	R25_3	1.37746905777603	1
R25	R25_4	0.724021856673062	1
R25	R25_5	1.4748654935509	0
R25	R25_6	2.27403202820569	1
R25	R25_7	1.4584525084123	0
R25	R25_8	0.235568362660706	1
R25	R25_9	0.345072988979518	1
R25	R25_10	0.888020454160869	0
R25	R25_11	2.47744121737778	0
R25	R25_12	1.81447681449354	1
R25	R25_13	0.289538041315973	1
R25	R25_14	1.57411947865039	0
R25	R25_15	1.28376081474125	0
R25	R25_16	0.745834371633828	1
R25	R25_17	0.803466070815921	0
R25	R25_18	1.24066792055964	0
R25	R25_19	2.41378851104528	1
R25	R25_20	1.11671704500914	0
R25	R25_21	2.12583302985877	0
R25	R25_22	2.38918564319611	1
R25	R25_23	0.787536459416151	0
R25	R25_24	1.39803855493665	0
